"time","state","num_tweet","family","feel","sad","past","anger","negate","anx","negemo","death","posemo","future","discrep","friend","verb","hear","article","present","p2","p3","p1","swear","social","num_reply","num_urlTweet","IngroupVirtue","AuthorityVice","FairnessVirtue","AuthorityVirtue","MoralityGeneral","HarmVirtue","PurityVice","IngroupVice","HarmVice","PurityVirtue","FairnessVice","love","joy","anger.1","fear","hate","ambiguous","anticipation","like","sadness","despair","calmness","disgust","surprise","hope"
"2014-11-11","AL",194,26,16,3,43,56,43,10,79,33,65,29,37,3,148,18,100,129,12,31,36,2,128,14,48,9,7,10,10,9,11,0,2,47,2,3,4,3,4,43,0,6,42,50,18,0,5,36,3,27
"2014-11-11","AK",23,0,1,1,2,3,2,0,3,4,6,3,5,0,14,2,9,13,5,3,5,0,11,1,5,2,1,2,3,0,3,0,0,3,0,0,2,0,0,3,0,0,4,7,1,0,0,5,0,2
"2014-11-11","AZ",309,50,25,10,65,91,67,21,135,49,116,45,57,2,208,37,144,175,25,39,41,2,205,5,80,15,19,14,17,6,21,1,2,56,0,5,10,6,2,56,0,2,70,70,27,0,16,60,4,38
"2014-11-11","AR",80,16,5,1,15,15,18,5,25,12,29,18,19,0,50,12,29,41,3,7,12,2,50,1,26,4,3,0,3,3,8,0,1,9,0,1,1,2,0,15,0,0,13,18,5,0,1,12,1,9
"2014-11-11","CA",2249,338,149,61,454,505,457,98,718,317,829,342,474,27,1450,222,1097,1187,234,291,307,38,1438,90,547,129,94,129,122,52,156,10,6,320,14,22,57,48,15,377,3,40,500,624,137,0,101,312,29,220
"2014-11-11","CO",390,45,19,3,79,94,78,13,118,60,152,52,70,3,284,55,164,238,39,48,77,4,256,5,90,22,22,31,15,11,38,1,0,66,0,5,9,9,0,79,0,5,93,93,23,0,23,63,3,36
"2014-11-11","CT",135,18,7,0,24,39,28,6,48,21,42,22,31,2,91,13,60,70,10,18,15,0,96,4,42,6,7,8,4,4,14,1,3,20,0,1,0,4,1,28,0,0,32,30,13,0,6,24,3,17
"2014-11-11","DC",866,128,85,27,173,170,165,27,249,100,358,143,153,12,588,116,426,486,60,105,127,7,556,24,222,64,26,42,73,12,122,3,7,124,3,3,20,9,2,158,0,12,208,202,51,0,64,98,9,106
"2014-11-11","DE",85,17,6,2,19,22,16,4,32,11,30,11,17,1,57,8,42,47,10,16,13,3,60,3,17,5,1,1,5,1,4,0,0,13,1,0,4,3,0,22,0,4,11,22,10,0,6,11,1,6
"2014-11-11","FL",830,175,59,20,186,200,158,39,277,121,270,156,144,6,564,96,380,441,80,128,116,28,557,18,244,51,30,38,61,26,54,3,2,112,3,8,19,13,8,167,2,14,179,208,65,0,31,124,13,90
